id,title,description,availability,condition,price,link,image_link,brand
71,SONY XM-N1004 1000 Watts Amplifier.,4-channel car amplifier with 70 watts RMS x 4,In Stock,new,8500,http://amanivehiclesounds.co.ke/product/sony-xm-n1004-1000-watts-amplifier,http://amanivehiclesounds.co.ke/uploads/product/SONY-XM-N1004-1000-Watts-Amplifier.-001.png,Sony
72,SONY XM-GS4 4 Channel Car Amplifier,with high-resolution audio 4-channel car amplifier,In Stock,new,18000,http://amanivehiclesounds.co.ke/product/sony-xm-gs4-4-channel-car-amplifier,http://amanivehiclesounds.co.ke/uploads/product/SONY-XM-GS4-4-Channel-Car-Amplifier-001.png,Sony
73,SONY XS-H50S car Tweeters,5cm (2”) Component Tweeter 650 watts,In Stock,new,4000,http://amanivehiclesounds.co.ke/product/sony-xs-h50s-car-tweeters,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-H50S-car-Tweeters-001.png,Sony
74,Kenwood KDC-120U Car Radio receiver,Single Din Front USB& AUX Input CD Car Stereo Receiver Headunit,Out of Stock,new,7500,http://amanivehiclesounds.co.ke/product/kenwood-kdc-120u-car-radio-receiver,http://amanivehiclesounds.co.ke/uploads/product/Kenwood-KDC-120U-Car-Radio-receiver-001.png,Kenwood
75,KENWOOD KDC-1030U Car Stereo system,Car radio with USB CD Player FM Radio,In Stock,new,7500,http://amanivehiclesounds.co.ke/product/kenwood-kdc-1030u-car-stereo-system,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KDC-1030U-Car-Stereo-system-001.png,Kenwood
76,KENWOOD KDC-BT640U Bluetooth Radio,Kenwood car radio  with USB/CD Receiver High Voltage 4.0V / 3-preouts,In Stock,new,11500,http://amanivehiclesounds.co.ke/product/kenwood-kdc-bt640u-bluetooth-radio,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KDC-BT640U-Bluetooth-Radio-001.png,Kenwood
77,KENWOOD KMM-BT306 Car Radio with Bluetooth,Kenwood radio for car with USB Receiver with Bluetooth,In Stock,new,8500,http://amanivehiclesounds.co.ke/product/kenwood-kmm-bt306-car-radio-with-bluetooth,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KMM-BT306-Car-Radio-with-Bluetooth-001.png,Kenwood
78,KENWOOD KDC-1040U One din Car Radio,"Affordable Kenwood Car stereo with CD player, AUX Input, USB port, FM.",In Stock,new,7500,http://amanivehiclesounds.co.ke/product/kenwood-kdc-1040u-one-din-car-radio,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KDC-1040U-One-din-Car-Radio-001.png,Kenwood
80,DPX-5100BT In dash Car Stereo,"Kenwood Car Stereo with CD player, Bluetooth, USB & multicolor display.",In Stock,new,13500,http://amanivehiclesounds.co.ke/product/dpx-5100bt-in-dash-car-stereo,http://amanivehiclesounds.co.ke/uploads/product/DPX-5100BT-In-dash-Car-Stereo-001.png,Kenwood
81,KENWOOD DDX419BT Car Radio,"This is a double din receiver with a 6.2inch touch display ,Bluetooth for hands free calls & audio streaming and reverse camera support.",In Stock,new,23000,http://amanivehiclesounds.co.ke/product/kenwood-ddx419bt-car-radio,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-DDX419BT-Car-Radio-001.png,Kenwood
82,KENWOOD DDX9019SM Car Android Radio.,"Kenwood Android radio with inbuilt wifi,3 camera Inputs, Wireless Apple CarPlay & wireless android Mirroring.",Out of Stock,new,60000,http://amanivehiclesounds.co.ke/product/kenwood-ddx9019sm-car-android-radio,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-DDX9019SM-Car-Android-Radio.-001.png,Kenwood
83,KENWOOD Navigation stereo,DNX5170SM Car Stereo with 6.2? WVGA Clear-coated Resistive Touch Screen Display,Out of Stock,new,45000,http://amanivehiclesounds.co.ke/product/kenwood-navigation-stereo,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-Navigation-stereo-001.png,Kenwood
84,"Kenwood 6.8"" Car Radio with USB","DMX120BT Car Radio with Bluetooth, backup camera input & USB Mirroring.",In Stock,new,"15,000",http://amanivehiclesounds.co.ke/product/kenwood-68-car-radio-with-usb,"http://amanivehiclesounds.co.ke/uploads/product/Kenwood-6.8""-Car-Radio-with-USB-001.png",Kenwood
85,KENWOOD KFC-S1056 4 Inch Car Speaker,"Stage sound series, 10cm flush mount dual-cone speaker system",In Stock,new,2500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-s1056-4-inch-car-speaker,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-S1056-4-Inch-Car-Speaker-001.png,Kenwood
86,KENWOOD KFC-S1666 Car Door Speaker,"6.5"" 300W 2 Way Coaxial Stage Sound Series Speaker",In Stock,new,3000,http://amanivehiclesounds.co.ke/product/kenwood-kfc-s1666-car-door-speaker,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-S1666-Car-Door-Speaker-001.png,Kenwood
87,KENWOOD KFC-M6934A Car Speakers,"6x9"", 3-way Flush-Mount Speaker System",In Stock,new,4500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-m6934a-car-speakers,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-M6934A-Car-Speakers-001.png,Kenwood
88,KENWOOD KFC-S6966 Oval Speakers,"6"" x 9"" 3-Way 400W Peak 45W RMS Coaxial Car Audio Speakers",In Stock,new,4500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-s6966-oval-speakers,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-S6966-Oval-Speakers-001.png,Kenwood
